date,condition,temperature,precipitation,windSpeed,wind_bearing,date0,condition0,temperature0,precipitation0,windSpeed0,windBearing0,date1,condition1,temperature1,precipitation1,windSpeed1,wind_bearing1,date2,condition2,temperature2,precipitation2,windSpeed2,wind_bearing2,date3,condition3,temperature3,precipitation3,windSpeed3,wind_bearing3,date4,condition4,temperature4,precipitation4,windSpeed4,wind_bearing4,date5,condition5,temperature5,precipitation5,windSpeed5,wind_bearing5,date6,condition6,temperature6,precipitation6,windSpeed6,wind_bearing6,date7,condition7,temperature7,precipitation7,windSpeed7,wind_bearing7
2021-02-06 18:00:00.004829+00:00,cloudy,27.1,None,1.01,256,2021-02-06 18:00:00+00:00,snowy,31.6,2.0,3.44,71,2021-02-07 18:00:00+00:00,cloudy,17.6,None,3.39,54,2021-02-08 18:00:00+00:00,snowy,24.4,4.0,3.69,81,2021-02-09 18:00:00+00:00,cloudy,16.8,None,4.33,27,2021-02-10 18:00:00+00:00,snowy,17.7,4.0,4.58,48,2021-02-11 18:00:00+00:00,snowy,10.1,4.0,5.77,10,2021-02-12 18:00:00+00:00,snowy,4.8,1.0,5.85,318,2021-02-13 18:00:00+00:00,sunny,-3.3,None,6.81,297
2021-02-07 18:00:00.005789+00:00,cloudy,10.7,None,1.01,163,2021-02-07 18:00:00+00:00,snowy,18.8,None,3.81,56,2021-02-08 18:00:00+00:00,snowy,27.2,2.0,2.51,119,2021-02-09 18:00:00+00:00,snowy,17.4,3.0,4.61,33,2021-02-10 18:00:00+00:00,snowy,19.4,3.0,4.88,28,2021-02-11 18:00:00+00:00,snowy,13.4,4.0,5.61,4,2021-02-12 18:00:00+00:00,snowy,3.1,None,4.56,355,2021-02-13 18:00:00+00:00,snowy,-1.4,3.0,4.45,2,2021-02-14 18:00:00+00:00,cloudy,-5.4,None,3.46,331
2021-02-08 18:00:00.009561+00:00,cloudy,20.4,None,8.06,50,2021-02-08 18:00:00+00:00,snowy,27.2,1.0,2.21,86,2021-02-09 18:00:00+00:00,snowy,19.1,None,4.61,20,2021-02-10 18:00:00+00:00,snowy,18.5,6.0,4.39,18,2021-02-11 18:00:00+00:00,snowy,14.4,1.0,5.32,5,2021-02-12 18:00:00+00:00,snowy,3.6,2.0,5.05,13,2021-02-13 18:00:00+00:00,snowy,0.2,8.0,5.68,351,2021-02-14 18:00:00+00:00,snowy,-2.4,1.0,6.47,294,2021-02-15 18:00:00+00:00,cloudy,3.0,None,1.52,340
2021-02-09 18:00:00.009261+00:00,cloudy,15.3,None,4.01,346,2021-02-09 18:00:00+00:00,snowy,18.9,None,4.1,8,2021-02-10 18:00:00+00:00,snowy,19.8,3.0,4.43,32,2021-02-11 18:00:00+00:00,snowy,15.8,5.0,5.04,22,2021-02-12 18:00:00+00:00,cloudy,12.1,None,5.37,3,2021-02-13 18:00:00+00:00,snowy,21.4,10.0,4.1,28,2021-02-14 18:00:00+00:00,snowy,10.8,3.0,7.29,293,2021-02-15 18:00:00+00:00,cloudy,-0.6,None,2.41,346,2021-02-16 18:00:00+00:00,partlycloudy,9.5,None,2.03,1
2021-02-10 18:00:00.009326+00:00,cloudy,15.5,None,8.71,22,2021-02-10 18:00:00+00:00,snowy,20.4,3.0,4.68,11,2021-02-11 18:00:00+00:00,snowy,17.1,4.0,4.85,31,2021-02-12 18:00:00+00:00,cloudy,9.4,None,4.8,354,2021-02-13 18:00:00+00:00,snowy,5.2,None,4.82,353,2021-02-14 18:00:00+00:00,cloudy,1.3,None,4.95,3,2021-02-15 18:00:00+00:00,snowy,2.7,1.0,4.17,28,2021-02-16 18:00:00+00:00,snowy,17.6,15.0,5.35,334,2021-02-17 18:00:00+00:00,partlycloudy,18.9,None,3.09,261
2021-02-11 18:00:00.004817+00:00,snowy,17.1,None,1.99,235,2021-02-11 18:00:00+00:00,snowy,20.6,4.0,4.77,28,2021-02-12 18:00:00+00:00,cloudy,13.3,None,5.97,353,2021-02-13 18:00:00+00:00,cloudy,8.0,None,4.33,348,2021-02-14 18:00:00+00:00,snowy,2.4,None,5.13,6,2021-02-15 18:00:00+00:00,snowy,1.3,3.0,4.87,7,2021-02-16 18:00:00+00:00,snowy,15.2,1.0,2.28,340,2021-02-17 18:00:00+00:00,snowy,22.5,2.0,2.39,73,2021-02-18 18:00:00+00:00,snowy,19.1,10.0,6.19,347
2021-02-12 18:00:00.013010+00:00,cloudy,14.6,None,12.01,11,2021-02-12 18:00:00+00:00,cloudy,14.6,None,6.09,355,2021-02-13 18:00:00+00:00,cloudy,11.1,None,4.07,355,2021-02-14 18:00:00+00:00,snowy,4.2,None,5.83,2,2021-02-15 18:00:00+00:00,snowy,4.1,7.0,5.91,9,2021-02-16 18:00:00+00:00,snowy,14.3,None,2.25,328,2021-02-17 18:00:00+00:00,snowy,22.2,2.0,2.5,73,2021-02-18 18:00:00+00:00,snowy,21.1,17.0,7.58,13,2021-02-19 18:00:00+00:00,snowy,23.1,2.0,4.64,288
2021-02-13 18:00:00.007528+00:00,cloudy,7.0,None,1.99,300,2021-02-13 18:00:00+00:00,cloudy,11.1,None,4.92,336,2021-02-14 18:00:00+00:00,snowy,2.4,1.0,5.56,356,2021-02-15 18:00:00+00:00,snowy,7.8,4.0,5.29,0,2021-02-16 18:00:00+00:00,cloudy,16.1,None,2.4,33,2021-02-17 18:00:00+00:00,snowy,21.3,3.0,3.41,92,2021-02-18 18:00:00+00:00,snowy,23.2,18.0,5.53,4,2021-02-19 18:00:00+00:00,snowy,21.6,1.0,5.38,289,2021-02-20 18:00:00+00:00,cloudy,32.5,None,4.06,185
2021-02-14 18:00:00.007985+00:00,snowy,4.6,None,10.01,330,2021-02-14 18:00:00+00:00,snowy,4.8,2.0,5.62,4,2021-02-15 18:00:00+00:00,snowy,6.0,3.0,5.03,357,2021-02-16 18:00:00+00:00,cloudy,15.1,None,2.12,354,2021-02-17 18:00:00+00:00,snowy,22.2,3.0,3.43,88,2021-02-18 18:00:00+00:00,snowy,21.2,7.0,5.91,330,2021-02-19 18:00:00+00:00,partlycloudy,29.2,None,4,265,2021-02-20 18:00:00+00:00,cloudy,32.0,None,3.38,121,2021-02-21 18:00:00+00:00,cloudy,38.0,None,3.81,218
2021-02-15 18:00:00.006072+00:00,snowy,2.1,None,1.01,313,2021-02-15 18:00:00+00:00,snowy,5.5,10.0,5.27,8,2021-02-16 18:00:00+00:00,cloudy,15.1,None,2.64,322,2021-02-17 18:00:00+00:00,snowy,21.1,2.0,3.44,112,2021-02-18 18:00:00+00:00,snowy,21.8,None,5.55,348,2021-02-19 18:00:00+00:00,partlycloudy,24.9,None,4.7,281,2021-02-20 18:00:00+00:00,cloudy,33.2,None,3.46,147,2021-02-21 18:00:00+00:00,rainy,42.7,8.0,3.78,186,2021-02-22 18:00:00+00:00,snowy-rainy,47.1,5.0,6.21,238
2021-02-16 18:00:00.009487+00:00,cloudy,9.2,None,1.99,296,2021-02-16 18:00:00+00:00,cloudy,14.5,None,2.89,304,2021-02-17 18:00:00+00:00,snowy,19.8,2.0,3.2,107,2021-02-18 18:00:00+00:00,cloudy,21.8,None,3.43,348,2021-02-19 18:00:00+00:00,sunny,25.5,None,2.71,264,2021-02-20 18:00:00+00:00,snowy,29.7,None,2.78,123,2021-02-21 18:00:00+00:00,rainy,40.2,3.0,5.3,180,2021-02-22 18:00:00+00:00,rainy,47.0,1.0,5.3,233,2021-02-23 18:00:00+00:00,sunny,50.1,None,8.02,256
2021-02-17 18:00:00.008170+00:00,snowy,15.6,None,1.99,61,2021-02-17 18:00:00+00:00,snowy,20.6,2.0,3.24,97,2021-02-18 18:00:00+00:00,cloudy,22.5,None,4.14,335,2021-02-19 18:00:00+00:00,sunny,28.1,None,2.49,257,2021-02-20 18:00:00+00:00,partlycloudy,33.1,None,3.28,209,2021-02-21 18:00:00+00:00,rainy,37.8,1.0,4.71,174,2021-02-22 18:00:00+00:00,sunny,43.4,None,4.91,246,2021-02-23 18:00:00+00:00,sunny,51.3,None,4.28,246,2021-02-24 18:00:00+00:00,sunny,47.6,None,1.21,16
2021-02-18 18:00:00.007560+00:00,cloudy,21.6,None,9.36,338,2021-02-18 18:00:00+00:00,cloudy,22.7,None,4.54,343,2021-02-19 18:00:00+00:00,sunny,27.6,None,2.44,260,2021-02-20 18:00:00+00:00,partlycloudy,33.4,None,3.35,211,2021-02-21 18:00:00+00:00,rainy,37.8,2.0,4.99,164,2021-02-22 18:00:00+00:00,sunny,46.0,None,5.95,238,2021-02-23 18:00:00+00:00,sunny,53.3,None,4.13,244,2021-02-24 18:00:00+00:00,rainy,48.7,2.0,2.14,215,2021-02-25 18:00:00+00:00,snowy-rainy,39.0,16.0,5.23,67
2021-02-19 18:00:00.009651+00:00,partlycloudy,26.5,None,4.01,215,2021-02-19 18:00:00+00:00,partlycloudy,28.7,None,2.29,268,2021-02-20 18:00:00+00:00,sunny,35.9,None,2.88,192,2021-02-21 18:00:00+00:00,rainy,39.1,1.0,5.97,172,2021-02-22 18:00:00+00:00,partlycloudy,46.2,None,5.69,240,2021-02-23 18:00:00+00:00,sunny,57.3,None,5.65,229,2021-02-24 18:00:00+00:00,rainy,45.2,None,4.38,355,2021-02-25 18:00:00+00:00,snowy,40.3,None,3.3,43,2021-02-26 18:00:00+00:00,snowy,42.1,None,4.35,87
2021-02-20 18:00:00.008045+00:00,sunny,33.2,None,3.45,50,2021-02-20 18:00:00+00:00,partlycloudy,34.3,None,2.24,188,2021-02-21 18:00:00+00:00,rainy,40.6,2.0,5.09,187,2021-02-22 18:00:00+00:00,sunny,45.7,None,6.13,245,2021-02-23 18:00:00+00:00,sunny,54.2,None,3.15,243,2021-02-24 18:00:00+00:00,rainy,46.4,None,4.42,260,2021-02-25 18:00:00+00:00,sunny,43.1,None,3.01,341,2021-02-26 18:00:00+00:00,partlycloudy,45.5,None,3.37,128,2021-02-27 18:00:00+00:00,partlycloudy,54.8,None,5.47,231
2021-02-21 18:00:00.008977+00:00,sunny,46.3,None,9.23,170,2021-02-21 18:00:00+00:00,rainy,46.3,1.0,6.93,177,2021-02-22 18:00:00+00:00,sunny,46.6,None,6.21,246,2021-02-23 18:00:00+00:00,sunny,55.9,None,2.46,238,2021-02-24 18:00:00+00:00,cloudy,45.5,None,5.36,344,2021-02-25 18:00:00+00:00,cloudy,44.5,None,2.92,322,2021-02-26 18:00:00+00:00,sunny,48.4,None,4.29,189,2021-02-27 18:00:00+00:00,sunny,55.9,None,3.94,198,2021-02-28 18:00:00+00:00,rainy,49.2,5.0,3.81,134
2021-02-22 18:00:00.008229+00:00,sunny,47.4,None,3.0,238,2021-02-22 18:00:00+00:00,sunny,47.8,None,6.05,237,2021-02-23 18:00:00+00:00,sunny,54.2,None,2.01,246,2021-02-24 18:00:00+00:00,partlycloudy,47.2,None,4.76,318,2021-02-25 18:00:00+00:00,cloudy,45.8,None,1.33,6,2021-02-26 18:00:00+00:00,rainy,51.2,None,5.22,151,2021-02-27 18:00:00+00:00,rainy,54.0,1.0,4.7,281,2021-02-28 18:00:00+00:00,rainy,53.9,None,3.8,154,2021-03-01 18:00:00+00:00,rainy,44.3,1.0,4.22,31
2021-02-23 18:00:00.008900+00:00,sunny,58.0,None,3.79,262,2021-02-23 18:00:00+00:00,sunny,58.8,None,1.92,198,2021-02-24 18:00:00+00:00,partlycloudy,47.8,None,5.64,326,2021-02-25 18:00:00+00:00,cloudy,46.0,None,3.3,326,2021-02-26 18:00:00+00:00,sunny,49.4,None,4.73,156,2021-02-27 18:00:00+00:00,rainy,58.8,None,3.88,226,2021-02-28 18:00:00+00:00,cloudy,49.2,None,1.63,51,2021-03-01 18:00:00+00:00,sunny,50.0,None,4.15,18,2021-03-02 18:00:00+00:00,snowy-rainy,33.7,1.0,4.05,114
2021-02-24 18:00:00.008715+00:00,partlycloudy,55.0,None,3.0,271,2021-02-24 18:00:00+00:00,partlycloudy,55.0,None,5.4,324,2021-02-25 18:00:00+00:00,cloudy,46.2,None,1.07,17,2021-02-26 18:00:00+00:00,rainy,53.4,None,5.14,142,2021-02-27 18:00:00+00:00,rainy,61.4,None,1.79,196,2021-02-28 18:00:00+00:00,cloudy,48.8,None,5.5,332,2021-03-01 18:00:00+00:00,sunny,47.4,None,4.88,328,2021-03-02 18:00:00+00:00,sunny,54.4,None,4.85,192,2021-03-03 18:00:00+00:00,rainy,61.9,None,3.24,226
2021-02-25 18:00:00.011219+00:00,cloudy,44.6,None,1.01,320,2021-02-25 18:00:00+00:00,cloudy,45.7,None,1.98,10,2021-02-26 18:00:00+00:00,sunny,53.7,None,4.71,137,2021-02-27 18:00:00+00:00,sunny,60.5,None,2.68,175,2021-02-28 18:00:00+00:00,cloudy,55.0,None,5.84,336,2021-03-01 18:00:00+00:00,sunny,50.1,None,4.21,319,2021-03-02 18:00:00+00:00,sunny,54.3,None,4.88,214,2021-03-03 18:00:00+00:00,sunny,57.8,None,2.94,300,2021-03-04 18:00:00+00:00,sunny,52.6,None,2.15,5
2021-02-26 18:00:00.005275+00:00,partlycloudy,47.8,None,1.99,352,2021-02-26 18:00:00+00:00,rainy,47.9,None,5.3,143,2021-02-27 18:00:00+00:00,rainy,59.6,None,2.89,164,2021-02-28 18:00:00+00:00,rainy,52.6,1.0,5.26,313,2021-03-01 18:00:00+00:00,sunny,45.8,None,5.98,324,2021-03-02 18:00:00+00:00,sunny,48.6,None,4.07,179,2021-03-03 18:00:00+00:00,cloudy,59.0,None,5.1,220,2021-03-04 18:00:00+00:00,cloudy,62.6,None,3.14,172,2021-03-05 18:00:00+00:00,rainy,60.8,17.0,5.03,65
2021-02-27 18:00:00.009600+00:00,partlycloudy,56.8,None,1.01,290,2021-02-27 18:00:00+00:00,rainy,58.6,1.0,2.96,143,2021-02-28 18:00:00+00:00,rainy,58.3,1.0,5.67,296,2021-03-01 18:00:00+00:00,sunny,50.4,None,5.97,291,2021-03-02 18:00:00+00:00,sunny,49.2,None,3.63,163,2021-03-03 18:00:00+00:00,cloudy,58.1,None,3.89,210,2021-03-04 18:00:00+00:00,sunny,58.0,None,3.41,145,2021-03-05 18:00:00+00:00,rainy,56.1,1.0,7.49,36,2021-03-06 18:00:00+00:00,partlycloudy,50.0,None,4.59,38
